    6      30
    1       2       2
    2       1       8
    1       3       9
    3       1       8
    1       4       9
    4       1       8
    1       5       2
    5       1       6
    1       6       7
    6       1       3
    2       3      10
    3       2       8
    2       4       4
    4       2       1
    2       5       4
    5       2       2
    2       6       3
    6       2      12
    3       4       1
    4       3      11
    3       5       5
    5       3       8
    3       6      11
    6       3      12
    4       5       4
    5       4       9
    4       6      10
    6       4      11
    5       6      12
    6       5      10
