nodes,ctime,cobj,gtime,gobj_ini,gobj_fin,gen
10,0.0384932,1486.88,0.0150459,1646.43,1486.88,26
20,0.466948,1669.01,0.082624,2821.17,1677.6,51
30,2.23786,2216.04,0.43284,5855.03,2298.56,150
40,5.47344,2629.25,1.44898,8010.49,2869.44,174
50,26.7009,2680.37,2.05367,9635.86,3136.51,168
60,93.1285,3144.11,2.41664,11701.6,3868.68,188
70,152.744,3365.6,5.01288,16591.5,4222.61,350
80,1378.45,3583.88,4.74897,18555.4,4727.28,216
90,319.022,3640.48,10.016,21222.4,4831.06,450
100,1454.63,4001.42,12.3757,23367.6,5683.34,428
